timestamp,bucket_values
2023-04-01T10:15:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.002, 0.004, 0.012, 0.026, 0.043, 0.075, 0.132, 0.191, 0.207, 0.165, 0.094, 0.03, 0.009, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-03T08:46:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.003, 0.003, 0.004, 0.007, 0.015, 0.037, 0.074, 0.135, 0.189, 0.203, 0.151, 0.091, 0.049, 0.024, 0.01, 0.003, 0.001, 0.0, 0.0, 0.0]"
2023-04-04T08:29:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.003, 0.01, 0.031, 0.058, 0.115, 0.177, 0.215, 0.182, 0.108, 0.056, 0.028, 0.01, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0]"
2023-04-05T08:03:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.004, 0.004, 0.009, 0.025, 0.049, 0.1, 0.153, 0.186, 0.168, 0.135, 0.096, 0.047, 0.018, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-06T10:01:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.003, 0.005, 0.012, 0.036, 0.065, 0.103, 0.162, 0.204, 0.185, 0.125, 0.06, 0.025, 0.01, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-07T09:20:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.004, 0.006, 0.01, 0.027, 0.057, 0.095, 0.163, 0.213, 0.203, 0.124, 0.06, 0.024, 0.008, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-08T08:36:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.004, 0.006, 0.018, 0.063, 0.142, 0.189, 0.198, 0.142, 0.103, 0.067, 0.041, 0.016, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-09T09:48:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.005, 0.009, 0.022, 0.054, 0.116, 0.203, 0.201, 0.164, 0.113, 0.051, 0.026, 0.02, 0.01, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-10T08:20:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.005, 0.006, 0.014, 0.033, 0.095, 0.147, 0.159, 0.152, 0.154, 0.129, 0.067, 0.025, 0.007, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-11T07:35:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.005, 0.008, 0.022, 0.052, 0.093, 0.15, 0.185, 0.177, 0.127, 0.084, 0.056, 0.027, 0.007, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-12T08:10:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.004, 0.005, 0.011, 0.033, 0.088, 0.153, 0.192, 0.171, 0.148, 0.102, 0.052, 0.023, 0.009, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-13T08:15:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.003, 0.004, 0.01, 0.032, 0.057, 0.088, 0.114, 0.153, 0.182, 0.165, 0.104, 0.056, 0.02, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-14T09:29:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.004, 0.006, 0.018, 0.03, 0.053, 0.11, 0.161, 0.201, 0.156, 0.125, 0.084, 0.038, 0.009, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-15T10:47:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.002, 0.002, 0.005, 0.013, 0.041, 0.134, 0.229, 0.239, 0.178, 0.102, 0.038, 0.011, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-16T09:26:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.005, 0.009, 0.023, 0.053, 0.121, 0.2, 0.209, 0.146, 0.107, 0.066, 0.038, 0.014, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-17T08:25:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.005, 0.009, 0.03, 0.098, 0.215, 0.215, 0.172, 0.121, 0.075, 0.035, 0.014, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-18T07:44:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.011, 0.028, 0.054, 0.099, 0.165, 0.206, 0.192, 0.132, 0.068, 0.028, 0.009, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-19T08:14:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.008, 0.012, 0.042, 0.137, 0.198, 0.185, 0.166, 0.112, 0.07, 0.04, 0.018, 0.007, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-21T08:14:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.005, 0.008, 0.029, 0.073, 0.117, 0.142, 0.163, 0.158, 0.133, 0.087, 0.05, 0.023, 0.007, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-22T09:13:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.002, 0.01, 0.038, 0.096, 0.157, 0.176, 0.197, 0.186, 0.096, 0.028, 0.009, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-23T10:37:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.005, 0.012, 0.053, 0.116, 0.148, 0.155, 0.158, 0.142, 0.117, 0.059, 0.022, 0.008, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
