timestamp,Infrared to Red Signal Ratio
11/03/22 02:09:30,0
11/03/22 02:10:30,0
11/03/22 02:11:30,8
11/03/22 02:12:30,0
11/03/22 02:13:30,8
11/03/22 02:14:30,-8
11/03/22 02:15:30,36
11/03/22 02:16:30,8
11/03/22 02:17:30,-1
11/03/22 02:18:30,17
11/03/22 02:19:30,2
11/03/22 02:20:30,12
11/03/22 02:21:30,-23
11/03/22 02:22:30,-6
11/03/22 02:23:30,-3
11/03/22 02:24:30,0
11/03/22 02:25:30,0
11/03/22 02:26:30,0
11/03/22 02:27:30,0
11/03/22 02:28:30,0
11/03/22 02:29:30,0
11/03/22 02:30:30,-26
11/03/22 02:31:30,-6
11/03/22 02:32:30,-2
11/03/22 02:33:30,0
11/03/22 02:34:30,-17
11/03/22 02:35:30,-6
11/03/22 02:36:32,-15
11/03/22 02:37:32,23
11/03/22 02:38:32,1
11/03/22 02:39:32,21
11/03/22 02:40:32,-2
11/03/22 02:41:32,20
11/03/22 02:42:32,-2
11/03/22 02:43:32,-2
11/03/22 02:44:32,-2
11/03/22 02:45:32,0
11/03/22 02:46:32,-17
11/03/22 02:47:32,0
11/03/22 02:48:32,10
11/03/22 02:49:32,0
11/03/22 02:50:32,52
11/03/22 02:51:32,-14
11/03/22 02:52:35,4
11/03/22 02:53:35,12
11/03/22 02:54:35,0
11/03/22 02:55:35,24
11/03/22 02:56:35,8
11/03/22 02:57:35,10
11/03/22 02:58:35,22
11/03/22 02:59:35,0
11/03/22 03:00:35,-18
11/03/22 03:01:35,0
11/03/22 03:02:35,-4
11/03/22 03:03:35,13
11/03/22 03:04:35,3
11/03/22 03:05:35,0
11/03/22 03:06:35,30
11/03/22 03:07:35,-8
11/03/22 03:08:35,1
11/03/22 03:09:35,-29
11/03/22 03:10:35,-3
11/03/22 03:11:35,-10
11/03/22 03:12:35,-6
11/03/22 03:13:35,-1
11/03/22 03:14:35,0
11/03/22 03:15:35,15
11/03/22 03:16:35,11
11/03/22 03:17:35,-8
11/03/22 03:18:35,-8
11/03/22 03:19:35,-14
11/03/22 03:20:35,0
11/03/22 03:21:35,16
11/03/22 03:22:38,15
11/03/22 03:23:38,-3
11/03/22 03:24:38,0
11/03/22 03:25:38,-22
11/03/22 03:26:38,0
11/03/22 03:27:38,-17
11/03/22 03:28:38,0
11/03/22 03:29:38,10
11/03/22 03:30:38,-1
11/03/22 03:31:38,-37
11/03/22 03:32:38,2
11/03/22 03:33:38,7
11/03/22 03:34:38,-8
11/03/22 03:35:38,0
11/03/22 03:36:38,21
